Date,Account value
5/24/2019,0
5/27/2019,0
5/28/2019,400
5/29/2019,400
5/30/2019,400
5/31/2019,400
6/3/2019,400
6/4/2019,400
6/5/2019,400
6/6/2019,400
6/7/2019,402.73
6/10/2019,404.33
6/11/2019,404.51
6/12/2019,404.17
6/13/2019,405.29
6/14/2019,404.95
6/17/2019,405.41
6/18/2019,407.23
6/19/2019,408.15
6/20/2019,410.35
6/21/2019,409.13
6/24/2019,408.01
6/25/2019,405.41
6/26/2019,404.85
6/27/2019,406.87
6/28/2019,408.93
7/1/2019,410.1
7/2/2019,411.17
7/3/2019,413.2
7/4/2019,413.2
7/5/2019,412.64
7/8/2019,411.8
7/9/2019,412.08
7/10/2019,413.22
7/11/2019,412.89
7/12/2019,413.84
7/15/2019,413.92
7/16/2019,413.02
7/17/2019,411.8
7/18/2019,412.66
7/19/2019,"1,011.17"
7/22/2019,"1,011.31"
7/23/2019,"1,013.07"
7/24/2019,"1,015.21"
7/25/2019,"1,011.45"
7/26/2019,"1,015.34"
7/29/2019,"1,015.17"
7/30/2019,"1,013.01"
7/31/2019,"1,008.20"
8/1/2019,986.38
8/2/2019,975.25
8/5/2019,943.46
8/6/2019,"1,130.70"
8/7/2019,"1,141.02"
8/8/2019,"1,149.92"
8/9/2019,"1,147.73"
8/12/2019,"1,143.24"
8/13/2019,"1,148.82"
8/14/2019,"1,135.34"
8/15/2019,"1,136.41"
8/16/2019,"1,142.75"
8/19/2019,"1,147.76"
8/20/2019,"1,144.09"
8/21/2019,"1,148.22"
8/22/2019,"1,147.43"
8/23/2019,"1,136.94"
8/26/2019,"1,142.05"
8/27/2019,"1,139.66"
8/28/2019,"1,143.30"
8/29/2019,"1,149.32"
8/30/2019,"1,150.72"
9/2/2019,"1,150.72"
9/3/2019,"1,647.49"
9/4/2019,"1,654.66"
9/5/2019,"1,661.29"
9/6/2019,"1,663.06"
9/9/2019,"1,663.91"
9/10/2019,"1,663.78"
9/11/2019,"1,668.60"
9/12/2019,"1,670.23"
9/13/2019,"1,668.17"
9/16/2019,"1,666.19"
9/17/2019,"1,666.96"
9/18/2019,"1,666.56"
9/19/2019,"1,667.09"
9/20/2019,"1,962.56"
9/23/2019,"1,961.73"
9/24/2019,"1,957.84"
9/25/2019,"1,959.74"
9/26/2019,"1,962.84"
9/27/2019,"1,961.69"
9/30/2019,"1,963.97"
10/1/2019,"1,956.00"
10/2/2019,"1,944.21"
10/3/2019,"1,950.74"
10/4/2019,"1,959.85"
10/7/2019,"1,957.27"
10/8/2019,"1,946.02"
10/9/2019,"1,951.30"
10/10/2019,"1,955.86"
10/11/2019,"1,963.16"
10/14/2019,"1,962.00"
10/15/2019,"1,968.67"
10/16/2019,"1,968.16"
10/17/2019,"1,969.76"
10/18/2019,"1,967.22"
10/21/2019,"1,972.52"
10/22/2019,"1,970.90"
10/23/2019,"1,973.63"
10/24/2019,"1,975.05"
10/25/2019,"1,976.73"
10/28/2019,"2,180.02"
10/29/2019,"2,180.90"
10/30/2019,"2,183.07"
10/31/2019,"2,180.54"
11/1/2019,"2,187.15"
11/4/2019,"2,189.36"
11/5/2019,"2,185.77"
11/6/2019,"2,186.35"
11/7/2019,"2,185.77"
11/8/2019,"2,185.97"
11/11/2019,"2,183.45"
11/12/2019,"2,184.07"
11/13/2019,"2,186.34"
11/14/2019,"2,187.76"
11/15/2019,"2,193.66"
11/18/2019,"2,194.10"
11/19/2019,"2,191.89"
11/20/2019,"2,189.92"
11/21/2019,"2,187.39"
11/22/2019,"2,189.45"
11/25/2019,"2,194.87"
11/26/2019,"2,197.24"
11/27/2019,"2,201.22"
11/28/2019,"2,201.22"
11/29/2019,"2,307.32"
12/2/2019,"2,299.46"
12/3/2019,"2,295.22"
12/4/2019,"2,301.49"
12/5/2019,"2,302.28"
12/6/2019,"2,309.23"
12/9/2019,"2,307.71"
12/10/2019,"2,306.05"
12/11/2019,"2,307.31"
12/12/2019,"2,313.32"
12/13/2019,"2,313.31"
12/16/2019,"2,321.50"
12/17/2019,"2,321.80"
12/18/2019,"2,325.40"
12/19/2019,"2,328.76"
12/20/2019,"2,329.93"
12/23/2019,"2,327.21"
12/24/2019,"2,719.47"
12/25/2019,"2,719.47"
12/26/2019,"2,725.64"
12/27/2019,"2,729.99"
12/30/2019,"2,721.08"
12/31/2019,"2,727.33"
1/1/2020,"2,727.33"
1/2/2020,"2,748.86"
1/3/2020,"2,739.32"
1/6/2020,"2,943.34"
1/7/2020,"2,939.75"
1/8/2020,"2,941.81"
1/9/2020,"2,955.09"
1/10/2020,"2,948.08"
1/13/2020,"2,962.10"
1/14/2020,"2,959.42"
1/15/2020,"2,966.30"
1/16/2020,"2,984.87"
1/17/2020,"2,996.78"
1/20/2020,"2,996.78"
1/21/2020,"2,995.40"
1/22/2020,"2,997.54"
1/23/2020,"3,003.12"
1/24/2020,"2,983.47"
1/27/2020,"3,254.88"
1/28/2020,"3,277.54"
1/29/2020,"3,263.57"
1/30/2020,"3,275.61"
1/31/2020,"3,239.70"
2/3/2020,"3,256.46"
2/4/2020,"3,282.58"
2/5/2020,"3,300.97"
2/6/2020,"3,310.06"
2/7/2020,"3,302.62"
2/10/2020,"3,335.87"
2/11/2020,"3,336.22"
2/12/2020,"4,346.64"
2/13/2020,"4,346.56"
2/14/2020,"4,359.19"
2/17/2020,"4,359.19"
2/18/2020,"4,371.24"
2/19/2020,"4,383.46"
2/20/2020,"4,366.54"
2/21/2020,"4,315.76"
2/24/2020,"4,215.70"
2/25/2020,"4,139.23"
2/26/2020,"4,139.81"
2/27/2020,"5,002.60"
2/28/2020,"5,004.87"
3/2/2020,"5,130.53"
3/3/2020,"5,056.25"
3/4/2020,"5,176.95"
3/5/2020,"5,090.79"
3/6/2020,"5,047.62"
3/9/2020,"4,848.10"
3/10/2020,"4,949.78"
3/11/2020,"4,837.39"
3/12/2020,"4,642.97"
3/13/2020,"4,838.35"
3/16/2020,"4,665.44"
3/17/2020,"4,818.51"
3/18/2020,"4,903.51"
3/19/2020,"4,891.62"
3/20/2020,"4,764.28"
3/23/2020,"4,806.48"
3/24/2020,"4,776.02"
3/25/2020,"4,723.39"
3/26/2020,"4,872.83"
3/27/2020,"4,809.13"
3/30/2020,"4,899.15"
3/31/2020,"4,835.33"
4/1/2020,"4,709.31"
4/2/2020,"4,784.59"
4/3/2020,"4,708.75"
4/6/2020,"4,942.78"
4/7/2020,"4,932.24"
4/8/2020,"5,042.13"
4/9/2020,"5,105.43"
4/10/2020,"5,105.43"
