Date,Deposit
5/24/2019,400
7/19/2019,600
8/6/2019,200
9/3/2019,500
9/20/2019,300
10/28/2019,200
11/29/2019,110
12/24/2019,390
1/6/2020,200
1/27/2020,300
2/12/2020,1000
2/27/2020,1000
4/29/2020,1000
7/24/2020,1000
8/10/2020,1000
10/2/2020,1000
10/15/2020,1000
11/3/2020,800
12/21/2020,1000
1/26/2021,1000
2/25/2021,1000
3/15/2021,1000
6/14/2021,1000
7/21/2021,1000
8/4/2021,1000
9/7/2021,1000
9/22/2021,1000
10/27/2021,1000
1/21/2022,1000
4/4/2022,200
4/25/2022,400
5/9/2022,400
5/23/2022,3000
