Date,Comparison price,Account value,Deposit,Cumulative deposits,Comparison shares bought,Cumulative comparison shares,Comparison account value,Account as percentage of comparison,Hypothetical account share price
5/24/2019,2826.06,0.0,400.0,400.0,0.1415,0.1415,400.0,1.0,2826.06
5/28/2019,2802.39,400.0,0.0,400.0,0.0,0.1415,396.6498,1.0084,2826.06
5/29/2019,2783.02,400.0,0.0,400.0,0.0,0.1415,393.9081,1.0155,2826.06
5/30/2019,2788.86,400.0,0.0,400.0,0.0,0.1415,394.7347,1.0133,2826.06
5/31/2019,2752.06,400.0,0.0,400.0,0.0,0.1415,389.5261,1.0269,2826.06
6/3/2019,2744.45,400.0,0.0,400.0,0.0,0.1415,388.4489,1.0297,2826.06
6/4/2019,2803.27,400.0,0.0,400.0,0.0,0.1415,396.7743,1.0081,2826.06
6/5/2019,2826.15,400.0,0.0,400.0,0.0,0.1415,400.0127,1.0,2826.06
6/6/2019,2843.49,400.0,0.0,400.0,0.0,0.1415,402.467,0.9939,2826.06
6/7/2019,2873.34,402.73,0.0,400.0,0.0,0.1415,406.692,0.9903,2845.3479
6/10/2019,2886.73,404.33,0.0,400.0,0.0,0.1415,408.5872,0.9896,2856.6521
6/11/2019,2885.72,404.51,0.0,400.0,0.0,0.1415,408.4443,0.9904,2857.9238
6/12/2019,2879.84,404.17,0.0,400.0,0.0,0.1415,407.612,0.9916,2855.5217
6/13/2019,2891.64,405.29,0.0,400.0,0.0,0.1415,409.2822,0.9902,2863.4346
6/14/2019,2886.98,404.95,0.0,400.0,0.0,0.1415,408.6226,0.991,2861.0325
6/17/2019,2889.67,405.41,0.0,400.0,0.0,0.1415,409.0033,0.9912,2864.2825
6/18/2019,2917.75,407.23,0.0,400.0,0.0,0.1415,412.9778,0.9861,2877.141
6/19/2019,2926.46,408.15,0.0,400.0,0.0,0.1415,414.2106,0.9854,2883.641
6/20/2019,2954.18,410.35,0.0,400.0,0.0,0.1415,418.1341,0.9814,2899.1843
6/21/2019,2950.46,409.13,0.0,400.0,0.0,0.1415,417.6076,0.9797,2890.5648
6/24/2019,2945.35,408.01,0.0,400.0,0.0,0.1415,416.8843,0.9787,2882.6519
6/25/2019,2917.38,405.41,0.0,400.0,0.0,0.1415,412.9254,0.9818,2864.2825
6/26/2019,2913.78,404.85,0.0,400.0,0.0,0.1415,412.4159,0.9817,2860.326
6/27/2019,2924.92,406.87,0.0,400.0,0.0,0.1415,413.9926,0.9828,2874.5976
6/28/2019,2941.76,408.93,0.0,400.0,0.0,0.1415,416.3762,0.9821,2889.1518
7/1/2019,2964.33,410.1,0.0,400.0,0.0,0.1415,419.5707,0.9774,2897.418
7/2/2019,2973.01,411.17,0.0,400.0,0.0,0.1415,420.7993,0.9771,2904.9777
7/3/2019,2995.82,413.2,0.0,400.0,0.0,0.1415,424.0278,0.9745,2919.32
7/5/2019,2990.41,412.64,0.0,400.0,0.0,0.1415,423.2621,0.9749,2915.3635
7/8/2019,2975.95,411.8,0.0,400.0,0.0,0.1415,421.2154,0.9776,2909.4288
7/9/2019,2979.63,412.08,0.0,400.0,0.0,0.1415,421.7363,0.9771,2911.407
7/10/2019,2993.07,413.22,0.0,400.0,0.0,0.1415,423.6386,0.9754,2919.4613
7/11/2019,2999.91,412.89,0.0,400.0,0.0,0.1415,424.6067,0.9724,2917.1298
7/12/2019,3013.77,413.84,0.0,400.0,0.0,0.1415,426.5684,0.9702,2923.8417
7/15/2019,3014.3,413.92,0.0,400.0,0.0,0.1415,426.6435,0.9702,2924.4069
7/16/2019,3004.04,413.02,0.0,400.0,0.0,0.1415,425.1913,0.9714,2918.0483
